row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
384,test,黄龙江一派全都带蓝牙,出自大妈吵架视频的荒诞台词，带武侠门派感和无厘头效果。,"This refers to an absurd viral argument line that sounds like a martial arts sect slogan while suddenly adding modern Bluetooth imagery, creating a deliberately nonsensical and comically dramatic effect.",The Huanglongjiang clan all wear Bluetooth,Bluetooth sect,wireless martial arts clan,viral argument catchphrase,non-harmful,Quotation
385,train,蛐蛐你,指背后偷偷议论别人，也可带玩笑式调侃。,"A slang phrase meaning to talk about someone behind their back, often quietly or secretly, and sometimes used in a playful way to mean teasing or making light comments about them.",talk about someone behind their back,cricket you,spill the tea,tease you,non-harmful,Homophonic pun
386,train,古希腊掌管xx的神,夸张形容某人在某方面能力极强，好像是古希腊神明。,"This phrase is an exaggerated compliment format that calls someone the Greek god of a certain skill or domain, implying they are almost divinely talented or unbeatable in that area.",Greek god of something,Greek god,god of something,ultimate expert,non-harmful,Stylistic device
387,test,南方小土豆,东北人对南方游客的爱称，形容娇小可爱、装备厚实的游客。,"An affectionate nickname for small, warmly dressed southern tourists visiting Northeast China, especially used by locals to describe their cute, bundled-up appearance in cold northeastern weather.",southern little potato,southern potato,little tourist,cute southerner,non-harmful,Stylistic device
388,test,猫meme,用网红猫咪制作的短视频表情包格式。,"A short-video meme format built around viral cats, typically using popular internet cat clips or edited cat footage as expressive reaction templates for humor, cuteness, or relatable online situations.",cat meme,cat video,kitty meme,reaction cat,non-harmful,Quotation
389,train,奶牛猫跳舞,AI制作的奶牛猫跳舞视频，因魔性可爱而走红。,"A viral AI-made dancing cat meme featuring a black-and-white cat, known for its oddly catchy, cute, and hypnotic dance video style that spread widely online.",AI cow cat dancing meme,cow cat,Nyan Cat,AI cat video,non-harmful,Quotation
390,train,新鲜哥,形容对事物保持新鲜感、充满好奇的人。,"“Freshness guy” is a nickname for someone who stays curious, excited, and eager about new things, approaching experiences with a lasting sense of novelty and enthusiasm.",curious novelty seeker,fresh brother,cool dude,early adopter,non-harmful,Stylistic device
391,train,铁T,女同性恋语境中指气质偏阳刚、外表或行为更像男生的一方。,"A “tie T” refers to a lesbian whose style, demeanor, or behavior is masculine, tomboyish, or butch, often presenting in ways culturally associated with men.",butch lesbian,iron T,tomboy,masculine girl,non-harmful,Slang
392,train,小火汁,“小伙子”的谐音，常见于东北方言语境，是对青年男子或男孩的称呼。,"This is a playful dialect-style way to address a young man or boy, often carrying a casual, teasing, or regional flavor rather than a formal or serious tone.",young lad,little fire juice,hot sauce,buddy boy,non-harmful,Homophonic pun
393,train,脑子瓦特了,源自上海话，用来骂或调侃别人脑子坏了、短路了、说话做事不过脑子。,"A teasing insult meaning someone’s brain has short-circuited, malfunctioned, or stopped thinking clearly, usually said when a person acts foolishly, speaks without thinking, or seems momentarily incapable of using common sense.",brain short-circuited,brain watt,brain water,out of your mind,harmful,Homophonic pun
394,test,张东升带你去爬山,源自影视剧情节，表示表面带人爬山，实则暗含把人推下悬崖的危险意味。,"This darkly humorous phrase refers to an invitation that seems like a harmless outing but secretly suggests a murder trap, especially the danger of being pushed off a cliff.",push you off a cliff,Zhang Dongsheng takes you hiking,go hiking,cliffhanger,harmful,Quotation
395,train,ssfd,“瑟瑟发抖”的缩写，用来卖萌式表达害怕、惹不起、委屈或恐惧。,"ssfd"" is a cute abbreviation used to express trembling with fear, feeling intimidated, or acting pitifully scared, often in a playful or self-deprecating way.",trembling in fear,social security fraud detection,scared face,shaking my head,non-harmful,Abbreviation
396,train,正经人谁写日记啊,表示真正正经的人不会把真心话写进日记里，常用于调侃日记里的内容并不单纯。,"A sarcastic remark suggesting that truly serious or respectable people would not put their honest thoughts in a diary, often used to tease that diary entries are not as innocent as they seem.",who keeps a diary anyway,who writes diaries,dear diary,honest diary,non-harmful,Quotation
397,train,神烦,表示超级烦、烦到无奈，常用于吐槽某人或某事特别烦人。,"It is an intensified slang expression used to complain that someone or something is extremely annoying, irritating, or so unbearable that it leaves the speaker feeling exasperated.",super annoying,god-level annoying,divine intervention,I'm fed up,non-harmful,Slang
398,train,ojbk,“o几把k”的缩写，意思是完全可以、没问题、觉得OK，带粗俗玩笑语气。,"“ojbk” is a vulgar, joking abbreviation used to say that something is totally okay, acceptable, no problem, or all good, often with a casual internet-humor tone.","totally okay, no problem",okay back,OK boomer,fine by me,non-harmful,Abbreviation
399,train,神兽,对小孩子的调侃称呼，形容其精力旺盛、爱捣乱、破坏力强，尤其常用于放假期间。,"A teasing nickname for energetic, mischievous, hard-to-control children, especially during school breaks, implying that they are lively, disruptive, difficult to manage, and capable of causing chaos at home.",little monsters,divine beasts,school-break gremlins,wild child,non-harmful,Stylistic device
400,train,碳基生物,原指以碳为生命基础的生物，网络语中常用来泛指人类或普通人。,"“Carbon-based life form” is a science-flavored internet expression used to refer broadly to humans, ordinary people, or regular living beings in a slightly nerdy or humorous way.",carbon-based lifeform,carbon creature,carbon life,human being,non-harmful,Stylistic device
401,test,思鸡盯,用来调侃楼主为什么会被色情广告或卖片账号盯上，暗示其平时行为值得反思。,"A teasing comment telling someone to reflect on why adult spam accounts are targeting them, implying their usual online behavior may explain why such accounts keep noticing or approaching them.",reflect on why they targeted you,think chicken stare,chicken watching,targeted by spam,non-harmful,Homophonic pun
402,test,苏卡不列,俄语粗口的中文音译，常用于表达强烈愤怒、辱骂或游戏语境中的粗俗情绪。,"This term is a phonetic rendering of a Russian profanity, used online to vent anger, frustration, or a strong insult, especially in rough joking or gaming contexts.",cyka blyat,suka not listed,Russian phrase,damn it,harmful,Homophonic pun
403,train,拉郎,指把没有感情基础、毫不相干的人或角色强行配成一对，常见于同人CP语境。,"It means to force an unlikely romantic pairing between unrelated people or fictional characters, especially in fandom contexts where two people or characters with no emotional basis or real connection are treated as a couple.",forced ship,pull a guy,arranged marriage,unlikely ship,non-harmful,Slang
404,train,年下,圈内语境中指恋爱关系里主动方年龄更小，常用于CP属性描述。,"A relationship trope where the active or pursuing partner is younger, often used in fandom or pairing descriptions to highlight that the younger person takes initiative in the romantic dynamic.",younger pursuer,younger below,junior-senior romance,age gap couple,non-harmful,Slang
405,train,年上,圈内语境中指恋爱关系里主动方年龄更大，与“年下”相对。,"A relationship trope where the active or pursuing partner is older, emphasizing an age dynamic in romance where the older person takes the more forward, dominant, or initiating role.",older pursuer,older above,senpai crush,age-gap romance,non-harmful,Slang
406,test,年下男,指恋爱或婚姻关系中年龄比自己小的男生，常用于姐弟恋语境。,"It refers to a younger male romantic partner in an age-gap relationship, especially when the woman is older and the dynamic is framed as a “older woman, younger man” romance.",younger male romantic partner,younger man,little brother type,toyboy,non-harmful,Abbreviation
407,train,哈拉少,俄语“好”的中文空耳，用来表示太好了、真棒、绝了。,"This phonetic catchphrase is used to praise something enthusiastically, meaning that it is great, excellent, impressive, or awesome.",awesome,hala less,Russian okay,not bad,non-harmful,Homophonic pun
408,train,绝绝子,表示“太绝了”，多数用于夸某人或某物特别好，少数语境下也可反讽特别差。,"Juejuezi"" is an intensified slang expression used to praise someone or something as exceptionally good, while in some contexts it can also be used sarcastically to mean something is unbelievably bad.",absolutely amazing,absolute child,so extreme,iconic,non-harmful,Stylistic device
409,train,画面太美我不敢看,用来调侃某个场面太奇葩、太离谱、太有冲击力，以至于“不敢看”。,"A joking reaction to a scene so bizarre, awkward, shocking, or overwhelming that it feels almost unbearable to look at, often used mockingly when something is absurdly intense or ridiculous.",too cursed to look at,the picture is too beautiful,eye candy,this is awkward,non-harmful,Quotation
410,train,要你寡,“要你管啊”的连读谐音，用来怼别人别多管闲事。,"It is a playful retort telling someone to mind their own business and stop interfering, usually used to push back when someone is being nosy or meddling in another person’s affairs.",mind your own business,want you widowed,OK boomer,who asked,non-harmful,Homophonic pun
411,train,豆沙了,“都鲨了”的谐音梗，常见于弹幕，表示把你们都解决掉，多用于单身者看到秀恩爱内容时的夸张吐槽。,"A coded exaggerated threat used in comments to jokingly express frustration, jealousy, or mock anger toward others, often when single viewers react dramatically to couples showing affection online.",kill them all,red bean paste,sharked everyone,I’m jealous,non-harmful,Homophonic pun
412,test,6块钱麻辣烫,男女暗示用语，常指廉价约会或低成本性暗示，多带调侃、轻蔑或性别冒犯意味。,"The phrase is a sexual innuendo suggesting a cheap date or low-cost hookup, often used jokingly, mockingly, or disrespectfully, with a tone that can carry gendered insult or social contempt.",cheap hookup,six-yuan spicy hot pot,Happy Meal,Netflix and chill,harmful,Stylistic device
413,train,挨打要立正,指做错事就要勇于承认，哪怕接受惩罚也要站正、认账。,"This phrase means that when someone has made a mistake, they should honestly admit it, take responsibility, and accept any criticism or punishment that follows instead of making excuses.",face the music,stand straight when beaten,turn the other cheek,say you're sorry,non-harmful,Slang
414,test,不讲武德,原为“年轻人不讲武德”的名场面，现指不按套路出牌、出其不意或手段太猛。,"It is a joking phrase for someone acting unfairly, unexpectedly, or too aggressively outside the usual rules, especially by breaking the expected pattern or using surprisingly forceful tactics.",doesn't play by the rules,no martial virtue,the code of chivalry,caught off guard,non-harmful,Quotation
415,train,狼灭,“狠人”的升级版，形容特别狠、特别强、特别能扛或特别厉害的人。,"It is an intensified slang label for someone extremely tough, ruthless, bold, or formidable, often implying a person who can endure a lot, act decisively, or prove unusually powerful in a difficult situation.",absolute savage,wolf extinction,lone wolf,hothead,non-harmful,Homophonic pun
416,train,终究还是一个人扛下了所有,指一个人独自承担困难、压力或伤痛，也常在搞笑场景中形容某人表现突出、独自完成一切。,"A melodramatic or joking phrase about carrying all the burden alone, used when someone appears to face hardship, pressure, or pain by themselves, or humorously seems to complete everything single-handedly.",shouldering it all alone,carried all the bags by himself,the chosen one,main character moment,non-harmful,Stylistic device
417,train,开火车,指讨论成人向、黄色、擦边或不健康话题，常用于说黄段子、带节奏进入污话题。,"It means to steer a conversation into sexual, dirty, or NSFW territory, often by making suggestive jokes or nudging the discussion toward adult, vulgar, or inappropriate topics.",steer the conversation into NSFW territory,drive a train,train of thought,derail the conversation,non-harmful,Stylistic device
418,train,妈系好友,指像妈妈一样关心、唠叨、照顾你的朋友，既会骂你又会关心你吃没吃、睡没睡。,"A “mom-type friend” is a caring friend who nags, protects, and looks after you like a mother, scolding you when needed while worrying about whether you have eaten, slept, and taken care of yourself.",mom friend,mother department friend,soccer mom,overprotective friend,non-harmful,Stylistic device
419,test,地铁赌徒,指在地铁上没座位时押注某个乘客快下车，赌自己能抢到座位的人。,A commuter who bets on which passenger will get off soon so they can quickly grab the vacated seat when riding the subway without a place to sit.,subway seat gambler,subway gambler,seat hunter,commuter gamble,non-harmful,Stylistic device
420,train,你人还怪好嘞,调侃大学生或年轻人对陌生人莫名信任，也可用于夸别人意外地好心。,"A teasing phrase used when someone turns out to be unexpectedly kind, overly trusting, or naively nice, often poking fun at young people who place surprising faith in strangers.","You're surprisingly kind, almost too trusting",your person is weirdly good,stranger danger,too wholesome for this world,non-harmful,Stylistic device
421,train,下班高手,形容特别擅长准时下班、不拖延、不加班、不把灵魂留在写字楼的人。,"A joking label for someone highly skilled at leaving work exactly on time, avoiding delay or overtime and making a clean escape from the office the moment the workday ends.",master of clocking out on time,off-duty expert,TGIF warrior,work-life balance advocate,non-harmful,Stylistic device
422,train,窝囊费,“窝囊废”的谐音，指打工人含泪挣来的工资，常用于自嘲收入和身心消耗不匹配。,"This self-deprecating term refers to wages earned through exhausting, humiliating, or emotionally draining work, especially when workers feel their income does not match the physical and emotional cost.",misery pay,coward fee,paycheck,pain money,non-harmful,Homophonic pun
423,train,wifi型人格,形容情绪和沟通状态像WiFi信号一样时稳时不稳，时而能连接、时而断线。,"A personality metaphor for someone whose mood, attention, or communication is unstable like a Wi-Fi signal, sometimes emotionally available and responsive, but at other times disconnected, inconsistent, or hard to reach.",spotty connection personality,Wi-Fi personality,unstable signal,emotionally unavailable,non-harmful,Stylistic device
424,train,45度青年,指不完全躺平也不参与内卷，处在奋斗与摆烂之间的佛系年轻人。,"A self-mocking label for young people halfway between lying flat and joining the rat race, describing those who neither fully give up nor compete intensely, staying in a laid-back middle ground between striving and slacking off.",halfway between lying flat and the rat race,45-degree youth,gap year kid,quiet quitter,non-harmful,Experience
425,train,突发恶疾,字面为突然得重病，网络语中用来调侃某人突然做出不正常、离谱或令人无语的言行。,"A teasing phrase for someone suddenly acting absurd, irrational, or wildly out of line, as if they had abruptly come down with a serious condition that made their behavior bizarre or impossible to explain.",sudden brain malfunction,sudden serious illness,main character syndrome,are you serious right now,non-harmful,Stylistic device
426,train,弟中弟,用来蔑称比自己弱、水平更低、很菜的人，来源于“你就是个弟弟”。,"It is a mocking label for someone considered extremely weak, inferior, inexperienced, or far below others in ability, often used to belittle them as clearly outclassed or incompetent.",bottom-tier noob,little brother among little brothers,rookie,underdog,harmful,Stylistic device
427,train,丐版,指“乞丐版”，常用于汽车、电子产品等低配置、最低配版本。,"“Beggar version” is a slang term for the lowest-end, bare-bones, stripped-down version of a product, especially cars or electronics, with only the most basic configuration and fewest features.",bare-bones base model,beggar edition,dollar-store version,standard model,non-harmful,Abbreviation
428,train,用爱发电,指凭兴趣和热爱做事，即使没有经济回报也继续投入。,"It refers to continuing to do something purely out of passion, love, or personal interest, even when there is no financial reward or practical compensation.",labor of love,generate electricity with love,pay it forward,side hustle,non-harmful,Quotation
429,train,妈味儿,指喜欢用“妈妈式”姿态说教、照顾、控制或自我感动的人，常带讽刺。,"It describes a patronizing, motherly, controlling, or self-righteous vibe in the way someone lectures, manages, fusses over, or emotionally frames themselves as caring for others, often with a sarcastic or critical tone.",maternal patronizing vibe,mom flavor,motherly care,helicopter mom,non-harmful,Stylistic device
430,train,爹味,可指成熟父爱感，也常指居高临下、爱说教、控制欲强的“老父亲式”气质。,"It describes a paternal vibe that may feel mature and fatherly, but more often suggests a patronizing, preachy, controlling “old dad” attitude toward others.",paternalistic vibe,dad flavor,fatherly vibe,mansplaining,non-harmful,Stylistic device
431,train,磕到了,饭圈或CP语境中表示被情侣感、互动甜度或CP感触动了。,"A fandom phrase meaning one has felt the romantic chemistry or sweetness of a pairing, often after seeing interactions that seem especially cute, affectionate, or suggestive of a couple-like bond.",I ship it,knocked into it,shipping,caught feelings,non-harmful,Slang
432,train,vers,彩虹圈术语，指既可攻也可受，或角色特征可在不同性别气质之间转换。,"Vers is a queer community term for someone who can take either sexual or romantic role, or whose role presentation can shift flexibly across different gendered expressions.",versatile,verse,ambidextrous,bottom,non-harmful,Abbreviation
433,train,越共探头,比喻某个群体平时不显眼，一有相关话题就突然大量冒出来。,A neutral meme describing a usually hidden or quiet fanbase or group that suddenly appears in large numbers as soon as a related topic is mentioned or becomes relevant.,hidden fanbase emerging,Viet Cong peeking,lurkers,fan swarm,non-harmful,Stylistic device
434,train,赵弹,评论区中常用来表示支持、火力支援或赞同，也可能表示强力打击。,"This slang term is used in comment sections to signal strong support, backing, or added firepower for someone’s point, and can also imply delivering a forceful verbal strike against the opposing side.",fire support,Zhao bullet,censorship strike,upvote,non-harmful,Stylistic device
435,train,海了去了,唐山方言，表示数量非常多、多得数不清。,"This Tangshan dialect expression means that there are extremely many of something, so many that they feel countless or impossible to fully enumerate.",too many to count,gone to the sea,a sea change,a handful of,non-harmful,Slang
436,train,野猪品不了细糠,用来讽刺或调侃某人不懂欣赏高级、精致或更好的东西。,"A mocking phrase for someone unable to appreciate refined, high-quality, or better things, used to tease or criticize a person who lacks the taste or understanding to recognize something more sophisticated or superior.",pearls before swine,wild boar cannot eat fine bran,picky eater,acquired taste,harmful,Slang
437,train,抛开事实不谈,指在事实对自己不利时先不谈事实，转而强词夺理、道德绑架或找对方问题。,"This describes a bad-faith rhetorical move where someone sets aside inconvenient facts, then argues unfairly by shifting blame, applying moral pressure, or attacking the other side instead.",bad-faith argument,leaving facts aside,whataboutism,moral high ground,non-harmful,Stylistic device
438,train,儒了子,山东济宁方言，用来骂人智商低、反应慢或很蠢。,"A regional insult from Jining, Shandong, used to mock or criticize someone as stupid, slow-witted, mentally dull, or slow to react.",idiot,Confucian child,scholar,slowpoke,harmful,Slang
439,train,女子月半王求,“好胖球”的拆字写法，用来夸赞 bombl4 表现出色、对队伍帮助很大。,"This split-character meme is a playful praise saying that the chubby-ball player performed very well, contributed greatly to the team, and helped secure the win.",great chubby-ball player,woman-child moon-half king-seek,Big Chungus,nice assist,non-harmful,Homophonic pun
440,train,天道酬勤,成语，指上天会回报勤奋努力的人。,"A proverb meaning hard work is rewarded by fate, heaven, or time, used to express the belief that diligent effort will eventually bring deserved success or recognition.",hard work pays off,heaven pays wages,work hard,karma pays off,non-harmful,Slang
441,train,不吃香菜,指短视频评论区中某账号曝出夸张私生活信息的事件梗，常用于调侃“婚前隐瞒黑历史”类叙事。,"This refers to a viral comment-section scandal meme about someone allegedly hiding a messy dating history before marriage, often used to mock stories about concealed romantic “black history” being exposed online.",hidden dating history,no cilantro,cilantro hater,messy past,non-harmful,Quotation
442,train,你甚至不愿意叫我一声,源自《教父》经典句式，用于调侃别人不够尊重或没有按某种称呼叫自己。,"A dramatic quote template used to mock someone for not showing enough respect, especially by failing to address the speaker with the title, name, or level of deference they jokingly expect.",you won’t even call me,you won’t call me,respect me,Godfather quote,non-harmful,Quotation
443,train,远方传来风笛,原为周杰伦歌词，网络语中常被借用为委婉表达“滚”的梗。,"A poetic song lyric repurposed online as a playful, indirect way to tell someone to go away, softening the bluntness of “get lost” with a mock-elegant tone.",get lost,distant bagpipes,song lyric,leave me alone,non-harmful,Experience
444,train,你的良心不会痛吗,用来吐槽别人做某事怎么能心安理得，带有责备和无语情绪。,"A rhetorical complaint used to blame or call out someone for doing something shamelessly, asking how they can feel at ease and show no guilt about it.",have you no shame,does your conscience hurt,shame on you,guilt trip,non-harmful,Experience
445,train,细作,指潜伏在内部的卧底、内鬼或泄密者。,"It refers to a spy, mole, or insider betraying a group from within by secretly working against their own side, leaking information, or helping opponents while pretending to belong.",mole,fine work,secret agent,traitor,harmful,Slang
446,train,滚粗,“滚”的玩笑化变体，意思是让对方走开，但语气比直接骂人轻。,"This meme is a joking, softened way to tell someone to get lost or go away, usually sounding less harsh than a direct insult while still expressing mock annoyance or dismissal.","shoo, go away",roll thick,touch grass,knock it off,harmful,Homophonic pun
447,train,星宝,对孤独症儿童的昵称，带有温和称呼色彩。,"“Star baby” is an affectionate nickname for autistic children, used as a gentle and warm way to refer to them without sounding clinical or harsh.",affectionate nickname for autistic children,star treasure,rainbow baby,special needs child,non-harmful,Stylistic device
448,train,起夜急李姐,“企业级理解”的谐音梗，调侃对方理解方式很刁钻、歪曲或过度解读。,"This phonetic joke mocks someone for interpreting something in an oddly elaborate, overly sophisticated, or twisted way, implying that their understanding is comically forced or distorted.",advanced misreading,getting up at night,enterprise-level understanding,overthinking,non-harmful,Homophonic pun
449,train,天一亮时间就不属于我了,表达白天一开始就被工作、学习或生活占据，对个人时间消失的无奈。,"A melancholic phrase about losing control over one’s time once the day begins, expressing the helpless feeling that work, study, or daily responsibilities immediately take over and leave no personal time.",my time is no longer mine,when dawn comes,no free time,morning dread,non-harmful,Stylistic device
450,test,轻舟已过万重山,源自李白诗句，网络语中常用来表示终于越过困难、走出低谷。,"A poetic phrase used to say that someone has finally passed through many difficulties, left a low point behind, and continued moving forward with a sense of relief and progress.",finally past the worst,light boat passed mountains,poetic success,through hardship,non-harmful,Quotation
451,test,二月红前来求药,出自电视剧台词，表示某人急切地追求、请求或寻找某物。,"A dramatic phrase used when someone is desperately seeking help, a cure, or something they urgently want, often with an exaggerated sense of pleading or emotional urgency.",came begging for a cure,February Red came to ask for medicine,May the odds be ever in your favor,asking for a friend,non-harmful,Quotation
452,train,hxd,“好兄弟”的拼音首字母缩写，指关系好的兄弟、朋友。,"“hxd” is an online abbreviation used to refer warmly to a close bro, buddy, or good friend, especially someone with whom the speaker has a familiar and friendly relationship.",bro,happy,good brother,dude,non-harmful,Abbreviation
453,train,kiyomi,韩语“可爱”的音译，用来称呼小可爱、可爱鬼。,"“Kiyomi” is a Korean-derived cute term used to affectionately describe someone adorable, sweet, or endearingly charming, similar to calling them a little cutie.",cutie,Kiyomi,cute girl,sweetie,non-harmful,Homophonic pun
454,train,kiyo,韩语“可爱”的音译，用来表示可爱、小可爱。,"“Kiyo” is a Korean-derived expression used to describe someone or something as cute, adorable, or endearingly sweet, often like calling a person a little cutie.",cute,Kiyo as a personal name,K-pop fan,wholesome,non-harmful,Homophonic pun
455,train,娃圈,以收藏、改造、拍摄和交流BJD、MJD等娃娃为核心的兴趣圈层。,"It refers to a hobby community centered on collecting, customizing, photographing, and sharing dolls, especially specialized collectible dolls, where enthusiasts exchange creations, styling ideas, and related experiences.",doll community,doll circle,toy fandom,figure collectors,non-harmful,Abbreviation
456,train,xswl,“笑死我了”的拼音缩写，用于表达非常好笑。,"“xswl” is an abbreviation used online to mean that something is extremely funny, so funny that it makes the speaker laugh very hard.",LMAO,laugh at me,YOLO,that's mildly funny,non-harmful,Abbreviation
457,test,ju,饭圈用语，来自“judge”，指随意评价、审判或攻击他人。,"In fandom slang, “ju” means to judge, criticize, or attack someone unfairly, often by casually passing harsh opinions or treating them as if they deserve public condemnation.",judge or unfairly criticize someone,chrysanthemum,serve as a contest judge,give feedback,non-harmful,Abbreviation
458,train,锁了,饭圈常用语，表示两个人关系很好、很稳、拆不散。,"In fandom slang, ""locked"" means that two people or characters are seen as a firmly bonded pair whose relationship is stable, close, and impossible to separate.",locked in,locked,shipped,official couple,non-harmful,Slang
459,train,粉籍,“粉丝户口”的缩写，指某人在饭圈中被认可的粉丝身份。,"It refers to a recognized fandom identity that shows which celebrity or idol someone officially supports, functioning like a fan affiliation within online idol and celebrity fan communities.",fan affiliation,fan registry,fan card,fandom status,non-harmful,Abbreviation
460,train,轮博,饭圈用语，指粉丝轮流转发微博以提高偶像相关内容的数据。,"This refers to coordinated reposting by fans to boost social media metrics, where supporters take turns sharing posts so an idol-related topic gains higher visibility, engagement numbers, and apparent popularity online.",repost farming,rotate blog,spam repost,fan campaign,non-harmful,Abbreviation
461,test,空瓶,“控评”的谐音，指粉丝控制评论区走向，营造正面舆论。,"“Empty bottle” is a homophone-based slang term meaning coordinated comment control by fans, who flood or manage replies under posts to steer the discussion and create a favorable public opinion environment.",comment control,empty bottle,comment cleanup,fan comments,non-harmful,Homophonic pun
462,test,蒸煮,“正主”的谐音，通常指粉丝喜欢的明星本人。,"This fandom slang is a homophone used to refer to the actual idol, celebrity, or public figure that a fan supports, as opposed to related content, rumors, or other people around them.",bias,steamed host,main owner,stan,non-harmful,Homophonic pun
463,train,李涛,“理性讨论”的谐音，指相对冷静、理性的分析讨论。,"“Li Tao” is a homophonic fandom phrase meaning rational discussion, used to signal a relatively calm, reasoned analysis or exchange of opinions rather than emotional arguing or impulsive commentary.",rational discussion,Li Tao,analysis post,serious talk,non-harmful,Homophonic pun
464,test,撒糖,指情侣或CP展示甜蜜互动，让旁观者感到很甜。,"It means to show sweet romantic interactions or affectionate moments between a real couple or a shipped pairing, making onlookers feel that the relationship is especially cute, loving, or heartwarming.",serve up sweet couple moments,sprinkle sugar,shipping war,third-wheeling,non-harmful,Stylistic device
465,train,粗花,“出发”的方言化或淋语说法，意思是出发。,"It is a playful dialect-like or campy internet way to say “set off” or “depart,” used when someone is about to leave, start a trip, or begin moving toward a destination.",set off,coarse flower,flower power,get ready to leave,non-harmful,Homophonic pun
466,train,五彩斑斓的黑,用来嘲讽不懂设计却提出矛盾需求的客户。,"A sarcastic phrase mocking impossible or contradictory design requests, especially when clients who do not understand design ask for mutually incompatible visual effects as if they were reasonable.",an impossible contradictory design request,colorful black paint,the customer is always right,scope creep,non-harmful,Stylistic device
467,train,幼爽,篮球圈用语，称赞某人打球技术很好、很厉害。,"A basketball slang compliment meaning someone plays extremely well, often used to praise a player as highly skilled, impressive, or especially dominant on the court.",baller,young and smooth,cool kid,great shooter,non-harmful,Slang
468,train,飞蝗芜湖,“非黄勿护”的谐音，表示帖子不是色情内容，请不要删除。,This coded phrase tells moderators that a post is not pornographic content and asks them not to remove or delete it for violating adult-content rules.,"not porn, do not delete",flying locust Wuhu,do not delete,safe post,non-harmful,Homophonic pun
469,test,奥黛丽恐惧症,指美好画面中突然出现猝不及防、令人震惊的奇怪行为。,"A meme term for a sudden shocking or absurd disruption in an otherwise pleasant scene, describing an unexpected strange act that breaks into a beautiful or pleasant moment and catches people completely off guard.",sudden weirdness,Audrey phobia,jump scare,awkward twist,non-harmful,Stylistic device
470,train,我的基因融入你的基因,理科式土味情话，委婉表达想和对方生孩子或建立亲密关系。,"This nerdy pickup line frames romantic or sexual desire in scientific terms, implying that the speaker wants to have a child with someone or become intimately connected by merging their genes.",let’s make a baby,my genes enter yours,biology flirting,love confession,non-harmful,Stylistic device
471,test,麻了,表示人已经疲惫、无语、震惊或情绪麻木，也可指醉了。,"It is a slang expression for feeling numb, speechless, exhausted, or overwhelmed, often used when someone is too tired, shocked, frustrated, or emotionally drained to react normally.",I'm emotionally numb,hemped,touch grass,I'm over it,non-harmful,Stylistic device
472,train,一氧化二氢,指水的化学式式说法，常用来嘲讽危言耸听或伪科学表述。,"A scientific-sounding way to say water, often used to mock alarmist misinformation by making an ordinary substance sound dangerous through technical or pseudo-scientific wording.",dihydrogen monoxide,one oxygen two hydrogen,snake oil science,H2O joke,non-harmful,Stylistic device
473,train,砍兰,闽南方言语境中表示厉害、很牛、了不起，也可带自负意味。,"This dialect slang term describes someone or something as impressive, awesome, or extremely capable, often expressing admiration for remarkable skill or achievement and sometimes carrying a slightly boastful or self-important tone.",impressive and awesome,cutting orchids,green thumb,humblebragging,non-harmful,Slang
474,train,都是时臣的错,二次元甩锅梗，用来把一切坏事都归咎于某人。,"This is an anime blame-shifting meme used to jokingly explain every bad thing as being someone’s fault, making that person the catch-all scapegoat for any problem or misfortune.",blame Tokiomi for everything,Tokiomi made one mistake,Darth Vader did it,call him out,non-harmful,Quotation
475,train,神马,“什么”的谐音，意思就是“什么”。,"“Shenma” is a playful internet homophone for “what,” used casually to ask what something is or to express mild confusion in a joking, meme-like tone.",what?,divine horse,holy cow,whatever,non-harmful,Homophonic pun
476,train,妥妥的,表示稳稳的、没问题、可以放心。,"A reassuring slang phrase meaning something is certain, stable, or no problem, used to express confidence that a situation is secure, reliable, and can be trusted without worry.",a sure thing,properly,no cap,good enough,non-harmful,Slang
477,train,斜杠青年,指拥有多重职业、身份或兴趣标签的年轻人。,"A “slash youth” refers to a young person with multiple careers, roles, or identities, often presenting themselves through several professional, personal, or interest-based labels at the same time.",multi-hyphenate young person,a young person with a slash mark,freelancer,side hustler,non-harmful,Experience
478,train,弃猫效应,指被抛弃过的人或动物因害怕再次被抛弃而变得格外乖巧、黏人。,"The “abandoned cat effect” is a metaphor for becoming extra obedient, clingy, or cautious after being abandoned, out of fear that rejection or abandonment might happen again.",abandoned-cat effect,abandoned cat,attachment issue,people pleasing,non-harmful,Quotation
479,train,99977,九宫格输入法数字梗，对应“珍惜眼前人”。,"“99977” is a numeric code based on nine-key phone input that means “cherish the person in front of you,” urging someone to value the person currently by their side.",cherish the one before you,phone number,number code,cherish love,non-harmful,Homophonic pun
480,train,寒蝉效应,指因害怕报复或惩罚而不敢发表意见、保持沉默。,"The term describes the chilling effect where people stay silent out of fear of retaliation or punishment, avoiding expressing their opinions because speaking up may bring negative consequences.",chilling effect,cicada effect,silence effect,fear speech,non-harmful,Quotation
481,train,喜大普奔,“喜闻乐见、大快人心、普天同庆、奔走相告”的缩写，表示大家都很高兴并传播好消息。,"It is an abbreviation used to express collective joy and celebration, suggesting that everyone is delighted by good news and eager to spread it widely.",cause for celebration,happy big run,celebration,great news,non-harmful,Abbreviation
